SubId,HyLakeId,HRU_IsLake,Soil_ID,Veg_ID,O_ID_1,O_ID_2,Landuse_ID,HRU_Area,HRU_ID,LAND_USE_C,VEG_C,SOIL_PROF,HRU_CenX,HRU_CenY,DowSubId,RivSlope,RivLength,BasSlope,BasAspect,BasArea,BkfWidth,BkfDepth,Lake_Cat,LakeVol,LakeDepth,LakeArea,Laketype,Has_Gauge,MeanElev,FloodP_n,Q_Mean,Ch_n,DrainArea,Strahler,Seg_ID,Seg_order,Max_DEM,Min_DEM,DA_Obs,DA_error,Obs_NM,SRC_obs,centroid_x,centroid_y,HRU_S_mean,HRU_A_mean,HRU_E_mean
795,1033905,1,-1,-1,-1,-1,-1,139408,247,LAKE,LAKE,LAKE,-77.632451,45.8616128,791,0.00892346,0,6.775000849,177.3909645,4811859.133,5.834575501,0.237996091,2,0.65,4.7,140000,1,0,252.3660367,0.106024098,0.656679616,0.067209372,10815534.72,1,58,1,189.9646301,164.6815033,0,0,,,1499359.351,12165511.2,6.775,177.391,252.366
462,,-1,1,1,1,1,1,721614,248,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.45131305,46.06681625,460,0.001719858,0,4.779449408,172.3649726,918488.5249,1.766351997,0.116201201,2,0.97,5,200000,1,0,409.44336,0.100000001,0.060185173,0.029565978,918488.5249,1,36,1,319.719574,319.719574,0,0,,,1435142.404,12183016.65,4.779,172.365,409.443
419,1031261,1,-1,-1,-1,-1,-1,109397,249,LAKE,LAKE,LAKE,-78.7196603,46.1016193,449,0.000870027,0,3.316658525,206.8589255,1895815.485,2.509420501,0.143452569,2,0.44,4,110000,1,0,420.2913687,0.116483519,0.121473597,0.025,1895815.485,1,33,1,328.8079529,320.3878784,0,0,,,1413946.143,12185672.39,3.317,206.859,420.291
252,,-1,1,1,1,1,1,325268,250,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.70813141,45.89093064,253,0.000748103,0,2.180579507,195.7151696,426142.9369,1.217512873,0.1,2,0.29,2.9,100000,1,0,426.0339763,0.0877193,0.028594475,0.025,426142.9369,3,90,1,394.3514709,391.3012695,0,0,,,1417022.733,12161863.66,2.181,195.715,426.034
71,,-1,1,1,1,1,1,1022473,251,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.926873,45.7735824,78,0.001173379,0,6.467245197,195.3423295,1146356.438,1.966583784,0.123934363,2,0.54,4.3,120000,1,0,455.9777185,0.100990101,0.074603622,0.025,1146356.438,1,4,2,438.6229553,434.4316406,0,0,,,1401139.724,12147473.76,6.467,195.342,455.978
300,,-1,1,1,1,1,1,12185052,252,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.43458627,46.10670834,294,0.00599362,5034.13608,4.439545214,184.7925454,12185051.71,9.387746077,0.316592824,0,0,0,0,0,0,394.2597184,0.11489362,1.700034267,0.05537725,28862311.16,1,19,1,376.8220215,346.6493225,0,0,,,1436068.12,12187523.9,4.44,184.793,394.26
459,,-1,1,1,1,1,1,9812769,253,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.49199598,46.07357325,469,0.001261223,0,4.267343947,182.3137388,11484415.29,10.61297049,0.340773991,1,12.35,7.4,1670000,1,0,369.7438862,0.144791672,2.172745806,0.025562454,37177619.49,1,36,3,321.129425,319.0335999,0,0,,,1431940.73,12183549.28,4.267,182.314,369.744
668,,-1,1,1,1,1,1,33364305,254,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.0044018,45.91436317,691,0.001667885,8906.120339,3.054235064,165.4223616,33364304.69,16.96547426,0.451547944,0,0,0,0,0,0,277.3525863,0.100000001,5.552224478,0.030024742,97890043.43,2,150,1,242.3029938,227.4486084,0,0,,,1471101.341,12169234.88,3.054,165.422,277.353
59,,-1,1,1,1,1,1,3961724,255,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.86204074,45.65450355,58,0.002051366,0,5.694476442,183.4734308,4347015.453,3.751457345,0.182593063,2,2.05,5.3,380000,1,0,481.2006257,0.127822585,0.271478245,0.032937375,4347015.453,1,2,4,443.1956787,433.5776978,0,0,,,1407241.28,12134805.63,5.694,183.473,481.201
902,1033145,1,-1,-1,-1,-1,-1,377565,256,LAKE,LAKE,LAKE,-77.5318786,45.92968232,901,0.002517292,0,6.392621884,192.038419,1473548.996,2.221003745,0.133319551,2,2.22,5.9,380000,1,0,191.9516121,0.11666667,0.095155433,0.038772609,1473548.996,4,182,1,154.0735016,149.1960449,0,0,,,1507555.331,12174382.65,6.393,192.038,191.952
